indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industria_manufacturera,suministro_electricidad_gas_agua,construccion,sectores_productores_bienes,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,admin_publica_planes_seguridad_social_afiliacion_obligatoria,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_sociales_personales,hogares_privs_servicio_domestico,sectores_productores_servicios,valor_agregado_bruto_precios_basicos,impuesto_valor_agregado,derechos_importacion,impuestos_productos_netos_subsidios,producto_interno_bruto_precios_mercado
2008-10-01,56134.07315473877,2562.2193242486437,45356.41079843231,193017.9509398746,13763.082456606355,50610.065067283955,361443.80174118467,145460.64193962025,20780.330059472075,70528.5354480263,41219.34392965992,124116.0731712222,73279.95356269887,56811.57292599896,40121.85836947998,33456.43335037117,7741.5879737812065,613516.330730331,974960.1324715156,82625.05082692,9292.5419036,101774.08317764431,1168651.80837968
2009-01-01,43520.08540833439,2215.050697818308,47155.62224159887,169063.09572566705,16462.68563556485,49062.58916272837,327479.1288717119,139262.9365316025,22610.90647988584,72311.30133797026,38916.62850535837,113552.32158747248,72356.19791227698,57429.024832763505,44166.7126411922,33323.117988792146,8503.835385566035,602432.9832028802,929912.1120745922,80577.54481767998,6771.73030316,95046.10113086416,1112307.4883262962
2009-04-01,91342.36693085729,4557.632714601022,48524.43415262869,189629.85624537925,15520.648237727757,49332.825708467426,398907.7639896615,148691.70118532746,19717.21938594546,79397.7075251689,42528.33277553703,124496.83034478415,79000.6198716222,61794.50954848768,53485.95467534515,35918.5623905285,8996.82298341708,654028.2606861636,1052936.0246758251,83665.01709264399,7125.73374556,107737.9524198381,1251464.7279338671
2009-07-01,51415.22367850654,2092.911460253673,50170.70197595756,202853.90935751604,20672.54830587668,56308.633360645115,383513.92813875555,159730.56543322688,21155.75193132107,77386.20509707785,43955.85446521787,133944.13274379616,80040.67490510434,64547.93989750498,53007.15740491773,38763.51286210039,9406.766626222157,681938.5613664894,1065452.489505245,92957.91387028,8136.561397,103187.78049455816,1269734.745267083
2009-10-01,65441.665386880326,2659.426794989528,56669.85740154258,216351.20980311494,16971.039468041643,57366.311596888634,415459.51045145764,166681.79319761563,23428.34978093967,81098.09473562473,45868.12551753747,143815.17936575643,93334.23746483405,66876.67708842937,51648.68802956715,39976.38915933666,9757.41468166433,722484.9490213054,1137944.4594727631,92342.458119,8765.12747232,119158.06910874945,1358210.1141728326
2010-01-01,77647.58915247032,2306.2746192795744,61070.94228142058,224505.6264317022,17563.06793955648,64081.57864506567,447175.0790694948,179846.17452646667,28907.68522021758,89838.37373710085,45817.94861127418,136823.75268744206,90603.07145450011,67903.15793282323,56573.86814782369,41898.35645497642,9597.322143056572,747809.7109156813,1194984.7899851762,100276.59623892,8879.15386724,114717.40987517317,1418857.9499665094
2010-04-01,171136.92117470628,4718.3915381412535,63558.04645241871,258857.2971677158,19033.646121171034,69740.60808425944,587044.9105384125,203340.1115071809,26263.57511785113,103095.26418433017,51785.17920603192,154315.11935147148,99564.60919056222,74880.82351737435,69221.54983595709,44367.96768681607,10917.573670180951,837751.7732677563,1424796.6838061688,110906.89315232,10218.06643984,140145.31105945318,1686066.954457782
2010-07-01,92254.06470859601,4187.883739987098,64905.5384673399,275862.70981703093,22467.041959945283,77690.06175701582,537367.300449915,219069.56646503258,31214.7468927406,100250.85871740582,54495.540561442656,167424.3104433388,105082.32103228793,79655.80766205981,69774.75297949086,49856.555273854625,12385.046665597494,889209.5066932512,1426576.8071431657,124762.40544808,13022.24991416,148473.0864328862,1712834.5489382918
2010-10-01,118697.38048196319,3118.3703925946575,67877.74651249182,293963.83738379064,19371.72785768602,78372.00572877856,581401.0683573049,230966.950948375,33220.34859967606,103946.16378837037,59378.01200661981,181792.94273205928,123951.84070887596,81555.47942705138,68299.40701542539,53047.493291226616,11895.11168471486,948053.7502023947,1529454.8185596995,129598.05380951997,13593.78068028,156477.59736624404,1829124.2504157436
2011-01-01,106867.74184284032,3290.7685568554634,69065.05207910477,299731.5471810019,24424.463915478715,94966.04607583089,598345.6196511121,239545.74890314485,39265.658489308844,114076.91684139668,58430.3121816281,171550.34745831965,123025.16795682725,95727.37562437804,77100.5755201445,55341.64992128226,12691.088056852905,986754.840953283,1585100.460604395,137056.26290812,12935.861853080001,153734.56648020097,1888827.151845796
